#{"t_start": 1760695127.3353326, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-598.874941,93,2.161716
-800.987822,85,3.711704
-1233.400585,181,6.776886
-320.624684,504,18.942124
-395.570727,158,23.840738
-90.719819,520,40.452871
-149.59933,1000,112.788752
-116.941545,336,132.181509
-536.897772,810,182.106745
-202.268428,960,250.054314
-310.97624,255,265.848333
-459.052864,794,313.72071
-95.35492,385,332.304558
-20.709361,164,338.442201
-155.397094,244,348.418691
-37.981821,432,367.158412
10.891553,310,379.908392
28.220237,115,384.920293
-65.88853,95,389.529294
-118.513668,266,400.770718
-160.761976,341,418.089658
-69.09411,97,422.484578
-161.779322,990,474.385347
-240.49856,353,489.958385
-281.901687,422,512.191807
-226.857554,631,540.630551
-287.609706,905,591.749096
-53.876354,249,603.828651
-227.045963,865,644.420636
-193.890058,413,665.264329
-165.67389,1000,718.009774
-140.544319,407,740.783559
-193.772338,781,786.621094
-76.366896,1000,853.669628
-42.739441,1000,928.128162
-60.475405,1000,1004.704132
3.697987,1000,1080.448161
-97.799265,1000,1153.53064
-87.510952,1000,1223.478911
-10.814976,1000,1307.45816
-140.208417,1000,1391.903262
246.91528,237,1413.169198
-0.810154,1000,1483.054246
-39.947607,1000,1551.240897
-73.791387,1000,1614.702671
-41.759342,1000,1672.994406
188.026889,562,1700.966172
-12.005962,1000,1752.156777
-89.274575,1000,1800.014757
-58.911911,1000,1851.92171
-41.103071,1000,1918.547918
-74.723248,1000,1981.972825
-130.203717,267,1995.41741
-63.686119,1000,2049.061128
286.253046,225,2062.118294
-26.492138,1000,2120.437913
-19.249924,1000,2180.591899
-3.612471,1000,2240.530839
97.304618,824,2294.190836
123.506004,809,2358.546326
107.393935,971,2442.490889
193.418973,577,2484.767302
-19.943937,1000,2546.564145
-45.765038,1000,2606.860681
-97.647995,1000,2665.343816
-211.821137,391,2685.409884
221.667172,292,2699.293605
241.133479,389,2716.61689
267.639967,286,2728.183921
-3.491692,145,2737.353058
257.391872,322,2751.413724
328.12224,235,2762.358815
257.309623,171,2769.342901
290.922488,226,2779.575508
-82.56525,1000,2826.779935
258.855474,333,2843.360662
265.08826,291,2855.791082
258.345334,471,2879.438672
241.419047,236,2891.477018
178.248431,515,2916.791118
240.162784,222,2927.221476
265.866259,402,2943.857096
207.505659,367,2960.287678
